Country;Interest;Position
Russia;60;80
Norway;60;70
Denmark;60;70
USA;60;70
Canada;60;70
Finland;50;50
Sweden;50;50
Iceland;50;50
China;40;30
Japan;40;20
South Korea;30;20
EU;40;35
